gene_ids,ens_gene,Pan_hrt_1,Pan_hrt_2,Pan_kid_1,Pan_kid_2,Pan_liv
466893,NSPTRG00000044525,2.82214,1.80139,20.8194,16.8004,10.7895
107971156,NSPTRG00000044529,0.171005,0,0.21179,0,0
742702,NSPTRG00000044531,0,0,0,0,0
462188,NSPTRG00000044533,28.18392408,12.66843,37.16952,29.182554,4.301990002
470986,NSPTRG00000044537,0.955633,0.761616,2.05767,3.1863,1.5339
736280,NSPTRG00000044538,1.68746,4.42387,2.43824,9.43915,0.129705
743630,NSPTRG00000044540,27.8409,96.2896,0.444043,0.215519,152.497
736845,NSPTRG00000044543,8.46702,8.75729,14.8568,19.0484,5.46453
462577,NSPTRG00000044552,2.579174,0.641099617,8.835361747,0.324045,8.41138813
747412,NSPTRG00000044557,8.89847,4.29517,38.07034,41.31656,44.730859
451447,NSPTRG00000044559,1.06208,1.25296,0.657692,6.9238,7.09885
107971253,NSPTRG00000044564,0,0,0,0.198253,0
741653,NSPTRG00000044568,11.68869,4.37939,16.38781,6.82151,16.151192
100615917,NSPTRG00000044569,0.374124,0.328607,2.07931,1.12283,0
458807,NSPTRG00000044577,0.659544,0.552109,4.47813,2.03549,1.89233
100615635,NSPTRG00000044578,0.879787,0.176239,3.44696,3.54613,0.764683
471931,NSPTRG00000044582,0,0,0,0,0
743999,NSPTRG00000044583,9.23931,5.86847,16.1345,18.9516,7.54084
104002760,NSPTRG00000044588,0,0,0,0,0
465882,NSPTRG00000044591,16.973,17.3889,16.0861,13.2598,8.56496
465915,NSPTRG00000044592,0,0,0,0,0
744552,NSPTRG00000044593,0,0,0.647232,1.72468,0
460419,NSPTRG00000044611,34.249,42.1035,36.8583,44.6063,31.1419
452301,NSPTRG00000044613,292.1771,133.77942,864.9864,654.4539,651.726
736680,NSPTRG00000044617,2.82868,1.53953,6.11575,6.9829,3.81044
451051,NSPTRG00000044626,275.979,274.807,578.803,752.496,426.128
454093,NSPTRG00000044627,5.3009,1.04547,2.668586,3.083848,0
452372,NSPTRG00000044634,2.5173,12.757024,3.268735681,1.9694649,0.3626418
471895,NSPTRG00000044636,0,0,0,0,0
745054,NSPTRG00000044653,53.1962,71.3994,99.1168,231.91,49.7664
735497,NSPTRG00000044659,0.468315,0.883973,3.24805,5.72405,6.99775
737660,NSPTRG00000044661,15.29181,9.67014,16.421027,10.01594,21.53977
459852,NSPTRG00000044665,42.20961,115.5147,135.634,416.32396,188.025
744472,NSPTRG00000044668,11.99757,2.65415,36.733508,2.873602,449.08967
738139,NSPTRG00000044671,0.280664,0,1.28049,0.421778,0.129438
469946,NSPTRG00000044686,23.53393,20.81653,54.2574,122.2822,47.2239
745299,NSPTRG00000044690,2.63078,1.37938,4.18915,7.11212,1.19402
467220,NSPTRG00000044692,0.609238,0.479156,19.6181,4.6795,20.23
467769,NSPTRG00000044693,20.092588,7.901249,96.73501,115.63196,21.534567
748865,NSPTRG00000044699,0.857413,0.070119716,10.593856,0.312625032,0.596203
464136,NSPTRG00000044702,9.09189,29.1132,18.4991,52.7008,3.59404
462071,NSPTRG00000044708,5.95686,5.59234,11.9558,31.7739,5.66817
467682,NSPTRG00000044713,1.820073,2.32612,0.8453126,1.75749,0.4196958
747307,NSPTRG00000044714,0.185444,0.0151461,2.6412464,0.77175,2.64669
459462,NSPTRG00000044716,1.27013,0.763895,68.7059,32.6731,2.06742
107971478,NSPTRG00000044718,1.55343,1.04721,3.71042,2.00097,3.17271
746695,NSPTRG00000044719,6.54725,6.09628,13.4323,17.8679,7.47274
107966150,NSPTRG00000044722,10.2333,14.8761,27.6497,36.3722,20.948
746430,NSPTRG00000044724,0,0,0,2.89177,0.221862
107966359,NSPTRG00000044730,0.0284946,0.02091,0,0,0
